,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
85,85,85,Sklar_Hebrew_negative,80,1,-2.55,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,שטיפת קיבה,Hebrew,1.03116893768,1,,10
86,86,86,Sklar_Hebrew_negative,50,1,-4.1,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,סחר בנשים,Hebrew,1.08707094193,1,,9
87,87,87,Sklar,50,1,0.181818182,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,carpark,Neutral phrase,0.847339868546,1,1008.0,7
88,88,88,Sklar_Hebrew_negative,50,1,-4.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מחנה ריכוז,Hebrew,1.6115629672999998,1,,10
89,89,89,Sklar_Hebrew_negative,80,1,-2.0,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,בן-כלבה,Hebrew,1.2517490387,1,,7
90,90,90,Sklar_Hebrew_negative,50,1,-2.7,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,לקפוץ מהגג,Hebrew,1.09423303604,1,,10
91,91,91,Sklar_Hebrew_neutral,50,1,1.45,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיקרה גבוהה,Hebrew,0.953129053116,1,,11
92,92,92,New,50,1,-2.3111111109999998,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,Steve jumped on the dog,Negative sentence,1.02831983566,1,11.0,23
93,93,93,Sklar,50,1,-2.8604651160000003,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,black eye,Negative phrase,1.13719201088,1,1031.0,9
94,94,94,Sklar_Hebrew_negative,50,1,-3.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פיטריות ברגליים,Hebrew,1.4822769165,1,,15
95,95,95,Sklar_Hebrew_neutral,80,1,0.75,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,מסך מחשב,Hebrew,0.941051959991,1,,8
96,96,96,Sklar,50,1,-3.0,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,stomach pump,Negative phrase,1.23511099815,1,1033.0,12
97,97,97,Sklar_Hebrew_neutral,80,1,0.2,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,בניין דירות,Hebrew,0.969640016556,1,,11
98,98,98,Sklar,50,1,0.813953488,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,high ceiling,Neutral phrase,1.39984607697,1,1020.0,12
99,99,99,Sklar_Hebrew_negative,50,1,-3.1,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מנוחת עולמים,Hebrew,1.45186591148,1,,12
100,100,100,Sklar_Hebrew_neutral,50,1,0.95,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מהדק נייר,Hebrew,1.43998908997,1,,9
